Title,File,Status,Summary,Notes
"Application of ChatGPT in Natural Disaster Prevention and Reduction",Application_of_ChatGPT_in_Natural_Disaster_Prevention_and_Reduction.pdf,Not started,,
"Automatic Speech Semantic Recognition and Verification in ATC",Automatic_Speech_Semantic_Recognition_and_Verification_in_ATC.pdf,Not started,,
"ChatGPT for Robotics: Design Principles and Model Abilities",ChatGPT_for_Robotics_Design_Principles_and_Model_Abilities.pdf,Not started,,
"Consultation on Industrial Machine Faults with LLMs",Consultation_on_Industrial_Machine_Faults_with_LLMs.pdf,Not started,,
"Conversational User Interfaces for Astronauts",Conversational_User_Interfaces_for_Astronauts.pdf,Not started,,
"Do As I Can, Not As I Say: Grounding Language in Robotic Affordances",Do_As_I_Can_Not_As_I_Say_Grounding_Language_in_Robotic_Affordances.pdf,Not started,,
"Flamingo: A Visual Language Model for Few-Shot Learning",Flamingo_Visual_Language_Model_for_Few_Shot_Learning.pdf,Not started,,
"Grounding LLMs for Robot Task Planning Using State Feedback",Grounding_LLMs_for_Robot_Task_Planning_using_State_Feedback.pdf,Not started,,
"Human-Robot Collaborative Visual Inspection with LLMs",Human_Robot_Collaborative_Visual_Inspection_with_LLMs.pdf,Not started,,
"LLM-RSPF: Robotic System Planning Framework",LLM_RSPF_Robotic_System_Planning_Framework.pdf,Not started,,
"LLM-based Autonomous Agent for Aerospace Wire Harnessing Assembly",LLM_based_Autonomous_Agent_for_Aerospace_Wire_Harnessing_Assembly.pdf,Not started,,
"LLMs as Autonomous Spacecraft Operators in Kerbal Space Program",LLMs_as_Autonomous_Spacecraft_Operators_in_KSP.pdf,Not started,,
"OpenVLA: Open-Source Vision-Language-Action Model",OpenVLA_Open_Source_Vision_Language_Action_Model.pdf,Not started,,
"Realtime Robotics Platform for Unstructured Industrial Tasks",Realtime_Robotics_Platform_for_Unstructured_Industrial_Tasks.pdf,Not started,,
"Scales of Justitia: Survey on LLM Safety Evaluation",Scales_of_Justitia_Survey_on_LLM_Safety_Evaluation.pdf,Not started,,
"SimulS2S-LLM: Speech-to-Speech Translation",SimulS2S_LLM_Speech_to_Speech_Translation.pdf,Not started,,
"Spoken Language Interaction with Robots",Spoken_Language_Interaction_with_Robots.pdf,Not started,,
"Structured and Unstructured Speech2Action Frameworks for Human-Robot Collaboration",Structured_and_Unstructured_Speech2Action_Frameworks_for_HRC.pdf,Not started,,
"VLAS: Speech Instructions for Customized Robot Manipulation",VLAS_Speech_Instructions_for_Customized_Robot_Manipulation.pdf,Not started,,
"Visual Instruction Tuning (LLaVA)",Visual_Instruction_Tuning_LLAVA.pdf,Not started,,
